Event,Rank,Bib,Name,Unnamed,Vault,Unnamed_2,Unnamed_3,Pen,Unnamed_4,Total,Unnamed_5,Unnamed_6
Vault,,,,Code,,Score,Score,,Score,,Rank,Order
Vault,1.0,391.0,BILES Simone,USA,1.0,6.400,9.400,-0.1,15.700,15.3,1,4
Vault,,,,,2.0,5.600,9.300,,14.900,,,
Vault,2.0,310.0,ANDRADE Rebeca,BRA,1.0,5.600,9.500,,15.100,14.966,2,6
Vault,,,,,2.0,5.400,9.433,,14.833,,,
Vault,3.0,392.0,CAREY Jade,USA,1.0,5.600,9.133,,14.733,14.466,3,8
Vault,,,,,2.0,5.000,9.200,,14.200,,,
Vault,4.0,380.0,AN Chang Ok,PRK,1.0,5.000,9.066,,14.066,14.216,6,2
Vault,,,,,2.0,5.600,8.766,,14.366,,,
Vault,5.0,315.0,GEORGIEVA Valentina,BUL,1.0,5.000,9.100,,14.100,13.983,9,1
Vault,,,,,2.0,4.800,9.066,,13.866,,,
Vault,6.0,316.0,BLACK Elsabeth,CAN,1.0,5.000,9.100,,14.100,13.933,8,5
Vault,,,,,2.0,4.800,8.966,,13.766,,,
Vault,7.0,365.0,YEO Seojeong,KOR,1.0,5.400,8.766,,14.166,13.416,5,7
Vault,,,,,2.0,5.000,7.666,,12.666,,,
Vault,8.0,318.0,OLSEN Shallon,CAN,1.0,5.600,8.500,,14.100,13.366,7,3
Vault,,,,,2.0,5.000,7.633,,12.633,,,
Uneven Bars,,,,Code,,Score,Score,,Rank,,Order,
Uneven Bars,1.0,301.0,NEMOUR Kaylia,ALG,,7.200,8.500,,1,15.7,6,
Uneven Bars,2.0,323.0,QIU Qiyuan,CHN,,7.200,8.300,,2,15.5,5,
Uneven Bars,3.0,394.0,LEE Sunisa,USA,,6.400,8.400,,3,14.8,8,
Uneven Bars,4.0,309.0,DERWAEL Nina,BEL,,6.500,8.266,,4,14.766,3,
Uneven Bars,5.0,352.0,D'AMATO Alice,ITA,,6.400,8.333,,6,14.733,2,
Uneven Bars,6.0,342.0,KEVRIC Helen,GER,,6.400,8.166,,8,14.566,7,
Uneven Bars,7.0,337.0,DOWNIE Rebecca,GBR,,6.500,7.133,,7,13.633,4,
Uneven Bars,8.0,324.0,ZHANG Yihan,CHN,,6.100,6.700,,5,12.8,1,
Balance Beam,,,,Code,,Score,Score,,Rank,,Order,
Balance Beam,1.0,352.0,D'AMATO Alice,ITA,,5.800,8.566,,7,14.366,6,
Balance Beam,2.0,325.0,ZHOU Yaqin,CHN,,6.600,7.500,,1,14.1,1,
Balance Beam,3.0,353.0,ESPOSITO Manila,ITA,,5.800,8.200,,6,14.0,4,
Balance Beam,4.0,310.0,ANDRADE Rebeca,BRA,,5.700,8.233,,3,13.933,8,
Balance Beam,5.0,391.0,BILES Simone,USA,,6.200,7.200,-0.3,2,13.1,7,
Balance Beam,6.0,394.0,LEE Sunisa,USA,,6.200,6.900,,4,13.1,2,
Balance Beam,7.0,314.0,SOARES Julia,BRA,,5.300,7.033,,8,12.333,3,
Balance Beam,8.0,384.0,MANECA-VOINEA Sabrina,ROU,,5.800,5.933,,5,11.733,5,
Floor,,,,Code,,Score,Score,,Rank,,Order,
Floor,1.0,310.0,ANDRADE Rebeca,BRA,,5.900,8.266,,2,14.166,2,
Floor,2.0,391.0,BILES Simone,USA,,6.900,7.833,-0.6,1,14.133,7,
Floor,3.0,393.0,CHILES Jordan,USA,,5.900,7.866,,3,13.766,9,
Floor,4.0,381.0,BARBOSU Ana,ROU,,5.800,8.000,-0.1,8,13.7,5,
Floor,5.0,384.0,MANECA-VOINEA Sabrina,ROU,,5.900,7.900,-0.1,4,13.7,8,
Floor,6.0,352.0,D'AMATO Alice,ITA,,5.600,8.100,-0.1,5,13.6,6,
Floor,7.0,356.0,KISHI Rina,JPN,,5.700,7.566,-0.1,8,13.166,4,
Floor,8.0,322.0,OU Yushan,CHN,,5.600,7.700,-0.3,6,13.0,3,
Floor,9.0,353.0,ESPOSITO Manila,ITA,,5.700,6.533,-0.1,7,12.133,1,
