Rank,Bib,Name,NOC,Vault_Score,Vault_D,Vault_E,Vault_Pen,Vault_Rk,UnevenBars_Score,UnevenBars_D,UnevenBars_E,UnevenBars_Pen,UnevenBars_Rk,BalanceBeam_Score,BalanceBeam_D,BalanceBeam_E,BalanceBeam_Pen,BalanceBeam_Rk,Floor_Score,Floor_D,Floor_E,Floor_Pen,Floor_Rk,Total
1,391,BILES Simone,USA,15.766,6.4,9.366,0.0,1,13.733,6.2,7.533,0.0,17,14.566,6.4,8.166,0.0,1,15.066,6.9,8.166,0.0,1,59.131
2,310,ANDRADE Rebeca,BRA,15.1,5.6,9.5,0.0,2,14.666,6.2,8.466,0.0,4,14.133,6.1,8.033,0.0,5,14.033,5.9,8.233,-0.1,2,57.932
3,394,LEE Sunisa,USA,13.933,5.0,8.933,0.0,7,14.866,6.4,8.466,0.0,2,14.0,6.2,7.8,0.0,8,13.666,5.4,8.266,0.0,4,56.465
4,352,D'AMATO Alice,ITA,14.0,5.0,9.0,0.0,5,14.8,6.4,8.4,0.0,3,14.033,5.8,8.233,0.0,6,13.5,5.6,8.0,-0.1,6,56.333
5,301,NEMOUR Kaylia,ALG,14.033,5.0,9.033,0.0,4,15.533,7.2,8.333,0.0,1,13.233,5.6,7.633,0.0,13,13.1,5.5,7.7,-0.1,11,55.899
6,316,BLACK Elsabeth,CAN,14.1,5.0,9.1,0.0,3,14.066,6.0,8.066,0.0,8,12.933,6.0,6.933,0.0,17,13.7,5.6,8.1,0.0,3,54.799
7,323,QIU Qiyuan,CHN,13.133,4.4,8.733,0.0,17,13.9,6.6,7.3,0.0,13,14.5,6.4,8.1,0.0,2,13.233,5.1,8.133,0.0,8,54.766
8,342,KEVRIC Helen,GER,13.866,5.0,8.866,0.0,8,14.466,6.2,8.266,0.0,5,13.4,5.4,8.0,0.0,11,12.866,5.5,7.366,0.0,15,54.598
9,313,SARAIVA Flavia,BRA,13.633,5.0,8.633,0.0,14,13.9,5.6,8.3,0.0,11,14.266,5.9,8.366,0.0,3,12.233,5.4,7.133,-0.3,23,54.032
10,371,VISSER Naomi,NED,12.966,4.2,8.766,0.0,19,14.266,6.1,8.166,0.0,6,13.333,5.2,8.133,0.0,12,13.4,5.4,8.0,0.0,7,53.965
11,356,KISHI Rina,JPN,13.766,5.0,8.766,0.0,11,13.833,5.6,8.233,0.0,14,13.133,5.6,7.533,0.0,15,13.233,5.7,7.533,0.0,9,53.965
12,340,KINSELLA Alice,GBR,13.8,5.0,8.8,0.0,10,14.133,6.0,8.133,0.0,7,13.033,5.5,7.533,0.0,16,12.833,4.9,7.933,0.0,16,53.799
13,304,PASS Ruby,AUS,13.633,5.0,8.733,-0.1,13,13.733,6.1,7.633,0.0,16,13.466,5.6,7.866,0.0,10,12.966,5.2,7.766,0.0,13,53.798
14,353,ESPOSITO Manila,ITA,13.866,5.0,8.866,0.0,8,12.8,5.5,7.3,0.0,19,14.2,6.0,8.2,0.0,4,12.733,5.7,7.033,0.0,18,53.599
15,358,NAKAMURA Haruka,JPN,12.833,4.2,8.633,0.0,22,13.933,6.1,7.833,0.0,10,13.7,5.8,7.9,0.0,9,12.633,5.3,7.333,0.0,20,53.099
16,322,OU Yushan,CHN,12.966,4.2,8.766,0.0,19,13.966,5.8,8.166,0.0,9,14.033,6.0,8.033,0.0,7,11.933,5.1,6.833,0.0,24,52.898
17,381,BARBOSU Ana,ROU,14.0,5.2,8.8,0.0,6,12.433,6.0,6.433,0.0,22,12.466,5.6,6.866,0.0,20,13.566,5.7,7.866,0.0,5,52.465
18,339,FENTON Georgia-Mae,GBR,13.633,4.6,9.033,0.0,12,13.8,5.7,8.1,0.0,15,11.3,4.4,6.9,0.0,24,13.033,5.2,7.833,0.0,12,51.766
19,319,STEWART Ava,CAN,13.333,4.6,8.733,0.0,16,12.633,5.8,6.833,0.0,20,13.166,6.0,7.166,0.0,14,12.5,4.9,7.6,0.0,21,51.632
20,379,MARTINS Filipa,POR,12.5,5.0,7.6,-0.1,24,13.566,5.3,8.266,0.0,18,12.7,4.9,7.8,0.0,19,12.466,4.8,7.766,-0.1,22,51.232
21,347,CZIFRA Bettina Lili,HUN,12.966,4.2,8.766,0.0,19,13.9,5.9,8.0,0.0,12,11.4,4.8,6.6,0.0,23,12.833,5.8,7.233,-0.2,17,51.099
22,383,GHIGOARTA Amalia,ROU,13.1,4.2,8.9,0.0,18,12.566,5.3,7.266,0.0,21,11.9,5.1,6.8,0.0,22,13.166,5.2,7.966,0.0,10,50.732
23,326,BLANCO Luisa,COL,13.5,4.6,8.9,0.0,15,11.133,4.5,6.933,-0.3,24,12.866,5.3,7.566,0.0,18,12.7,4.7,8.0,0.0,19,50.199
24,344,VOSS Sarah,GER,12.5,5.0,7.8,-0.3,23,12.333,5.2,7.133,0.0,23,12.3,5.6,6.7,0.0,21,12.866,5.0,7.866,0.0,14,49.999
