Rank,Bib,Name,NOC,Vault_Score,Vault_D,Vault_E,Vault_Pen,Vault_Rk,UnevenBars_Score,UnevenBars_D,UnevenBars_E,UnevenBars_Pen,UnevenBars_Rk,BalanceBeam_Score,BalanceBeam_D,BalanceBeam_E,BalanceBeam_Pen,BalanceBeam_Rk,Floor_Score,Floor_D,Floor_E,Floor_Pen,Floor_Rk,Total
1,391,BILES Simone,USA,14.9,5.6,9.3,0.0,,14.4,6.2,8.2,0.0,,14.366,6.4,7.966,0.0,,14.666,6.8,8.066,-0.2,,58.332
1,392,CAREY Jade,USA,14.8,5.6,9.2,0.0,,,,,,,,,,,,,,,,,14.8
1,393,CHILES Jordan,USA,14.4,5.0,9.4,0.0,,14.366,6.0,8.366,0.0,,12.733,5.6,7.133,0.0,,13.966,5.8,8.166,0.0,,55.465
1,394,LEE Sunisa,USA,14.566,6.3,8.266,0.0,,14.6,6.4,8.2,0.0,,13.533,5.4,8.133,0.0,,,,,,,42.699
1,395,RIVERA Hezly,USA,,,,,,,,,,,,,,,,,,,,,
2,351,ANDREOLI Angela,ITA,13.566,4.6,8.966,0.0,,13.3,5.6,7.7,0.0,,13.833,5.9,7.933,0.0,,,,,,,40.699
2,352,D'AMATO Alice,ITA,13.933,5.0,8.933,0.0,,14.633,6.3,8.333,0.0,,13.933,5.6,8.333,0.0,,13.466,5.6,7.966,-0.1,,55.965
2,353,ESPOSITO Manila,ITA,14.166,5.0,9.166,0.0,,13.966,5.8,8.166,0.0,,12.666,5.1,7.666,-0.1,,,,,,,40.798
2,354,IORIO Elisa,ITA,14.266,6.3,7.966,0.0,,,,,,,,,,,,,,,,,14.266
2,355,VILLA Giorgia,ITA,13.766,5.8,7.966,0.0,,,,,,,,,,,,,,,,,13.766
3,310,ANDRADE Rebeca,BRA,15.1,5.6,9.5,0.0,,14.533,6.2,8.333,0.0,,14.133,6.1,8.033,0.0,,14.2,6.1,8.1,0.0,,57.966
3,311,BARBOSA Jade,BRA,13.366,5.0,8.466,-0.1,,,,,,,,,,,,,,,,,13.366
3,312,OLIVEIRA Lorrane,BRA,13.0,5.5,7.5,0.0,,,,,,,,,,,,,,,,,13.0
3,313,SARAIVA Flavia,BRA,13.9,5.0,8.9,0.0,,13.666,5.6,8.066,0.0,,13.433,5.5,7.933,0.0,,13.533,5.4,8.133,0.0,,54.532
3,314,SOARES Julia,BRA,12.4,5.4,7.0,0.0,,13.233,5.3,7.933,0.0,,,,,,,,,,,,25.633
4,337,DOWNIE Rebecca,GBR,14.933,6.7,8.233,0.0,,12.933,4.8,8.133,0.0,,,,,,,,,,,,27.866
4,338,EVANS Ruby,GBR,13.966,5.4,8.866,-0.3,,13.1,5.3,7.8,0.0,,,,,,,,,,,,27.066
4,339,FENTON Georgia-Mae,GBR,13.8,4.6,9.2,0.0,,14.0,5.8,8.2,0.0,,13.566,5.5,8.066,0.0,,,,,,,41.366
4,340,KINSELLA Alice,GBR,13.966,5.0,8.966,0.0,,13.3,6.0,7.3,0.0,,13.6,5.5,8.1,0.0,,13.633,5.6,8.033,0.0,,54.499
4,341,MARTIN Abigail,GBR,13.466,5.8,7.666,0.0,,,,,,,,,,,,,,,,,13.466
5,316,BLACK Elsabeth,CAN,14.166,5.0,9.166,0.0,,12.8,5.7,7.1,0.0,,14.3,6.4,7.9,0.0,,13.633,5.6,8.033,0.0,,54.899
5,317,LEE Cassandra,CAN,13.333,5.8,7.533,0.0,,12.6,4.7,7.9,0.0,,,,,,,,,,,,25.933
5,318,OLSEN Shallon,CAN,14.4,5.6,8.8,0.0,,,,,,,,,,,,,,,,,14.4
5,319,STEWART Ava,CAN,13.3,4.6,8.7,0.0,,13.5,5.5,8.0,0.0,,13.8,6.0,7.8,0.0,,,,,,,40.6
5,320,TRAN Aurelie,CAN,13.5,5.3,8.2,0.0,,13.1,5.0,8.1,0.0,,,,,,,,,,,,26.6
6,321,LUO Huan,CHN,13.166,4.2,8.966,0.0,,13.933,6.1,7.833,0.0,,13.9,6.1,7.8,0.0,,,,,,,40.999
6,322,OU Yushan,CHN,12.733,5.1,7.633,0.0,,,,,,,,,,,,,,,,,12.733
6,323,QIU Qiyuan,CHN,13.133,4.4,8.733,0.0,,14.3,6.6,7.7,0.0,,14.6,6.4,8.2,0.0,,,,,,,42.033
6,324,ZHANG Yihan,CHN,13.7,5.2,8.6,-0.1,,14.433,6.4,8.033,0.0,,12.733,5.2,7.533,0.0,,,,,,,40.866
6,325,ZHOU Yaqin,CHN,12.3,6.1,6.3,-0.1,,13.2,5.5,7.7,0.0,,,,,,,,,,,,25.5
7,381,BARBOSU Ana,ROU,13.933,5.2,8.733,0.0,,12.433,6.1,6.633,-0.3,,12.7,4.9,7.8,0.0,,13.566,5.8,8.066,-0.3,,52.632
7,382,COSMAN Lilia,ROU,13.433,4.6,8.833,0.0,,13.133,5.4,7.733,0.0,,,,,,,,,,,,26.566
7,383,GHIGOARTA Amalia,ROU,13.333,5.3,8.033,0.0,,12.5,5.4,7.1,0.0,,13.133,5.1,8.033,0.0,,,,,,,38.966
7,384,MANECA-VOINEA Sabrina,ROU,13.633,5.0,8.633,0.0,,13.8,6.1,7.7,0.0,,13.9,6.0,7.9,0.0,,,,,,,41.333
7,385,PREDA Andreea,ROU,,,,,,,,,,,,,,,,,,,,,
8,356,KISHI Rina,JPN,13.966,5.0,8.966,0.0,,13.6,5.5,8.1,0.0,,13.466,5.5,7.966,0.0,,13.433,5.6,7.833,0.0,,54.465
8,358,NAKAMURA Haruka,JPN,12.966,4.2,8.766,0.0,,12.433,5.8,6.633,0.0,,12.8,5.6,7.2,0.0,,13.233,5.4,7.833,0.0,,51.432
8,359,OKAMURA Mana,JPN,13.1,5.6,7.5,0.0,,13.7,5.6,8.1,0.0,,12.933,5.0,7.933,0.0,,,,,,,39.733
8,360,USHIOKU Kohane,JPN,13.833,5.0,8.833,0.0,,,,,,,,,,,,,,,,,13.833
